stid,number,name,lat [degrees],lon [degrees],elevation [m],county,nearest_city,state,distance_from_town [km],direction_from_town [degrees],climate_division,climate_division_name,wfo,commissioned,decommissioned
PROF_ALBA,2003,Albany,42.75175,-73.81128,83.07,Albany,Colonie,NY,4.2,NNE,5,Hudson Valley,ALY,2017-09-01 00:00:00 UTC,
PROF_BELL,2030,Belleville,43.78823,-76.11765,152.1,Jefferson,Belleville,NY,0.55,NNE,9,Great Lakes,BUF,2017-03-03 00:00:00 UTC,
PROF_BRON,2026,Bronx,40.872481,-73.893522,59.31,Bronx,Bronx,NY,3.9,NW,4,Coastal,OKX,2017-09-12 22:00:00 UTC,
PROF_BUFF,2004,Buffalo,42.99359,-78.79461,185.39,Erie,Buffalo,NY,13.7,NNE,9,Great Lakes,BUF,2017-03-29 20:00:00 UTC,
PROF_CHAZ,2029,Chazy,44.889,-73.46634,74.29,Clinton,Chazy,NY,2.4,W,7,Champlain Valley,BTV,2017-03-02 16:30:00 UTC,
PROF_CLYM,2019,Clymer,42.02143,-79.62746,457.45,Chautauqua,Clymer,NY,0.22,ENE,9,Great Lakes,BUF,2017-03-22 23:00:00 UTC,
PROF_EHAM,2035,East Hampton,40.970394,-72.20094,22.97,Suffolk,East Hampton,NY,1.56,WNW,4,Coastal,OKX,2017-04-27 19:00:00 UTC,
PROF_JORD,2027,Jordan,43.068747,-76.469993,129.46,Onondaga,Jordan,NY,0.45,NNE,10,Central Lakes,BGM,2016-11-21 17:57:00 UTC,
PROF_OWEG,2052,Owego,42.024938,-76.253072,464.45,Tioga,Owego,NY,8.7,S,2,Eastern Plateau,BGM,2017-05-02 14:00:00 UTC,
PROF_QUEE,2034,Queens,40.734335,-73.815856,52.89,Queens,Queens,NY,1.9,WNW,4,Coastal,OKX,2017-06-09 19:00:00 UTC,
PROF_REDH,2025,Red Hook,41.99983,-73.88412,72.85,Dutchess,Red Hook,NY,0.9,NW,5,Hudson Valley,ALY,2017-04-17 20:17:43 UTC,
PROF_STAT,2020,Staten Island,40.604014,-74.148499,34.43,Richmond,Staten Island,NY,5.3,N,4,Coastal,OKX,2017-06-08 20:35:07 UTC,
PROF_STON,2002,Stony Brook,40.919579,-73.133284,55.1,Suffolk,Stony Brook,NY,1.06,SE,4,Coastal,OKX,2018-04-12 22:00:00 UTC,
PROF_SUFF,2028,Suffern,41.133034,-74.085979,191.87,Rockland,Suffern,NY,5.7,ENE,5,Hudson Valley,OKX,2017-02-25 02:15:00 UTC,
PROF_TUPP,2124,Tupper Lake,44.224256,-74.441052,525.2,Franklin,Tupper Lake,NY,1.84,E,3,Northern Plateau,BTV,2017-01-30 21:00:00 UTC,
PROF_WANT,2042,Wantagh,40.65025,-73.5054,18.25,Nassau,Wantagh,NY,3.74,S,4,Coastal,OKX,2017-04-26 21:00:00 UTC,
PROF_WEBS,2037,Webster,43.2601,-77.41238,95.6,Monroe,Webster,NY,5.5,NNE,9,Great Lakes,BUF,2017-03-23 17:00:00 UTC,
