site_long,site_abbr,lat,lon,alt
Albany_NY,ALB,42.69,-73.83,95.0
Gaylord_MI,APX,44.91,-84.71,446.0
Buffalo_NY,BUF,42.93,-78.73,215.0
Chatham_MA,CHH,41.66,-69.96,16.0
Charleston_SC,CHS,32.90,-80.03,15.0
Davenport_IA,DVN,41.61,-90.58,229.0
Detroit_MI,DTX,42.70,-83.46,329.0
Green_Bay_WI,GRB,44.50,-88.11,214.0
Greensboro_NC,GSO,36.08,-79.95,270.0
Gray_ME,GYX,43.90,-70.25,125.0
Sterling_VA,IAD,38.98,-77.46,93.0
Wilmington_OH,ILN,39.41,-83.81,317.0
Lincoln_IL,ILX,40.15,-89.33,178.0
Newport_NC,MHX,34.78,-76.88,11.0
Minneapolis_MN,MPX,44.85,-93.56,287.0
Upton_NY,OKX,40.87,-72.86,20.0
Pittsburgh_PA,PIT,40.53,-80.22,359.0
Blacksburg_VA,RNK,37.20,-80.41,654.0
Wallops_VA,WAL,37.93,-75.47,12.0
Peachtree_City_GA,FFC,33.36,-84.57,245.0
Caribou_ME,CAR,46.87,-68.01,191.0
