stid,number,name,lat [degrees],lon [degrees],elevation [m],county,nearest_city,state,distance_from_town [km],direction_from_town [degrees],climate_division,climate_division_name,wfo,commissioned,decommissioned
SNOW_BRAN,1066,Brant,42.59494,-79.02154,218.542,Erie,Brant,NY,0.8,NNW,9,Great Lakes,BUF,2018-10-01 00:00:00 UTC,
SNOW_CLAR,1110,Claryville,41.9792,-74.5171,583.692,Sullivan,Claryville,NY,8.2,NE,2,Eastern Plateau,BGM,2018-10-01 00:00:00 UTC,
SNOW_COLD,1032,Cold Brook,43.261885,-74.984749,433.395,Herkimer,Cold Brook,NY,5.4,NE,6,Mohawk Valley,ALY,2018-10-01 00:00:00 UTC,
SNOW_CROG,1051,Croghan,43.97496,-75.201,418.948,Lewis,Croghan,NY,17.7,ENE,3,Northern Plateau,BUF,2018-10-01 00:00:00 UTC,
SNOW_EDIN,1049,Edinburg,43.228391,-74.112001,324.703,Saratoga,Edinburg,NY,1,NW,5,Hudson Valley,ALY,2018-10-01 00:00:00 UTC,
SNOW_HARR,1112,Harrisburg,43.803921,-75.688729,494.69,Lewis,Harrisburg,NY,8,WSW,3,Northern Plateau,BUF,2018-10-01 00:00:00 UTC,
SNOW_ILAK,1122,Indian Lake,43.79067,-74.23933,494.172,Hamilton,Indian Lake,NY,2.3,ENE,3,Northern Plateau,ALY,2018-10-01 00:00:00 UTC,
SNOW_NEWC,1048,Newcomb,43.97329,-74.22273,501.396,Essex,Newcomb,NY,4.7,W,3,Northern Plateau,BTV,2018-10-01 00:00:00 UTC,
SNOW_NHUD,1116,North Hudson,44.0131,-73.70516,298.978,Essex,North Hudson,NY,7,NNE,7,Champlain Valley,BTV,2018-10-01 00:00:00 UTC,
SNOW_OLDF,1011,Old Forge,43.741494,-74.978329,534.406,Herkimer,Old Forge,NY,3.5,N,3,Northern Plateau,ALY,2018-10-01 00:00:00 UTC,
SNOW_OSCE,1084,Osceola,43.49915,-75.71175,333.177,Lewis,Osceola,NY,0.9,E,3,Northern Plateau,BUF,2018-10-01 00:00:00 UTC,
SNOW_PISE,1114,Piseco,43.46474,-74.50432,535.991,Hamilton,Piseco,NY,3.1,NNE,3,Northern Plateau,ALY,2018-10-01 00:00:00 UTC,
SNOW_RAQU,1045,Raquette Lake,43.822752,-74.625091,539.74,Hamilton,Raquette Lake,NY,2.8,ENE,3,Northern Plateau,ALY,2018-10-01 00:00:00 UTC,
SNOW_REDF,1120,Redfield,43.62136,-75.878125,385,Oswego,Oswego,NY,11.1,NW,9,Great Lakes,BUF,2018-10-01 00:00:00 UTC,
SNOW_ROXB,1062,Roxbury,42.331202,-74.46918,573.055,Delaware,Roxbury,NY,7.9,ENE,2,Eastern Plateau,BGM,2018-10-01 00:00:00 UTC,
SNOW_SIFKIL,1401,Fresh Kills,40.587,-74.197,4.9,Richmond,New York,NY,21.2,SW,4,Coastal,OKX,2020-10-07 19:45:00 UTC,
SNOW_TANN,1108,Tannersville,42.17071,-74.11343,711.373,Greene,Tannersville,NY,3.3,SSE,5,Hudson Valley,ALY,2018-10-01 00:00:00 UTC,
SNOW_TUPP,1124,Tupper Lake,44.22128,-74.43826,502.829,Franklin,Tupper Lake,NY,2.1,E,3,Northern Plateau,BTV,2018-10-01 00:00:00 UTC,
SNOW_TYRO,1039,Tyrone,42.403192,-77.053504,366.857,Schuyler,Tyrone,NY,0.4,ESE,10,Central Lakes,BGM,2018-10-01 00:00:00 UTC,
SNOW_WFMB,1014,Whiteface Mountain Base Snow,44.393236,-73.858829,614.599,Essex,Wilmington,NY,3.5,W,7,Champlain Valley,BTV,2018-10-01 00:00:00 UTC,
SNOW_WGAT,1123,Woodgate,43.532408,-75.158597,442.966,Oneida,Woodgate,NY,1.4,NNW,3,Northern Plateau,BGM,2018-10-01 00:00:00 UTC,
