datetimes,pressure_level,velocity,direction,cnr,w,range,times
2019-11-13 00:00:00,10012.0,,,-28.0,,100,2019-11-13T00:00:00
2019-11-13 00:10:00,10016.0,,,-28.0,,100,2019-11-13T00:10:00
2019-11-13 00:20:00,10016.0,,,-28.0,,100,2019-11-13T00:20:00
2019-11-13 00:30:00,10019.0,,,-29.0,,100,2019-11-13T00:30:00
2019-11-13 00:40:00,10018.0,,,-29.0,,100,2019-11-13T00:40:00
2019-11-13 00:50:00,10019.0,,,-30.0,,100,2019-11-13T00:50:00
2019-11-13 01:00:00,10020.0,,,-30.0,,100,2019-11-13T01:00:00
2019-11-13 01:10:00,10020.0,125.7,192.0,-24.0,-0.30000000000000004,100,2019-11-13T01:10:00
2019-11-13 01:20:00,10022.0,117.9,195.0,-23.0,-1.2000000000000002,100,2019-11-13T01:20:00
2019-11-13 01:30:00,10024.0,130.6,193.0,-24.0,-0.6000000000000001,100,2019-11-13T01:30:00
2019-11-13 01:40:00,10028.0,,,-28.0,,100,2019-11-13T01:40:00
2019-11-13 01:50:00,10028.0,134.0,195.0,-26.0,-0.30000000000000004,100,2019-11-13T01:50:00
2019-11-13 02:00:00,10028.0,133.70000000000002,194.0,-24.0,-0.30000000000000004,100,2019-11-13T02:00:00
2019-11-13 02:10:00,10029.0,129.5,195.0,-24.0,-0.9,100,2019-11-13T02:10:00
2019-11-13 02:20:00,10030.0,,,-28.0,,100,2019-11-13T02:20:00
2019-11-13 02:30:00,10032.0,,,-27.0,,100,2019-11-13T02:30:00
2019-11-13 02:40:00,10056.0,,,-28.0,,100,2019-11-13T02:40:00
2019-11-13 02:50:00,10034.0,,,-28.0,,100,2019-11-13T02:50:00
2019-11-13 03:00:00,10035.0,,,-28.0,,100,2019-11-13T03:00:00
2019-11-13 03:10:00,10037.0,,,-28.0,,100,2019-11-13T03:10:00
2019-11-13 03:20:00,10037.0,,,-29.0,,100,2019-11-13T03:20:00
2019-11-13 03:30:00,10039.0,,,-29.0,,100,2019-11-13T03:30:00
2019-11-13 03:40:00,10037.0,,,-30.0,,100,2019-11-13T03:40:00
2019-11-13 03:50:00,10038.0,,,-30.0,,100,2019-11-13T03:50:00
2019-11-13 04:00:00,10040.0,,,-30.0,,100,2019-11-13T04:00:00
2019-11-13 04:10:00,10040.0,,,-30.0,,100,2019-11-13T04:10:00
2019-11-13 04:20:00,10041.0,,,-30.0,,100,2019-11-13T04:20:00
2019-11-13 04:30:00,10043.0,,,-30.0,,100,2019-11-13T04:30:00
2019-11-13 04:40:00,10041.0,,,-30.0,,100,2019-11-13T04:40:00
2019-11-13 04:50:00,10044.0,,,-30.0,,100,2019-11-13T04:50:00
2019-11-13 05:00:00,10045.0,,,-30.0,,100,2019-11-13T05:00:00
2019-11-13 05:10:00,10044.0,,,-30.0,,100,2019-11-13T05:10:00
2019-11-13 05:20:00,10046.0,,,-30.0,,100,2019-11-13T05:20:00
2019-11-13 05:30:00,10049.0,,,-30.0,,100,2019-11-13T05:30:00
2019-11-13 05:40:00,10048.0,,,-30.0,,100,2019-11-13T05:40:00
2019-11-13 05:50:00,10044.0,,,-30.0,,100,2019-11-13T05:50:00
2019-11-13 06:00:00,10044.0,,,-30.0,,100,2019-11-13T06:00:00
2019-11-13 06:10:00,10042.0,,,-30.0,,100,2019-11-13T06:10:00
2019-11-13 06:20:00,10045.0,,,-30.0,,100,2019-11-13T06:20:00
2019-11-13 06:30:00,10047.0,,,-30.0,,100,2019-11-13T06:30:00
2019-11-13 06:40:00,10046.0,,,-30.0,,100,2019-11-13T06:40:00
2019-11-13 06:50:00,10047.0,,,-30.0,,100,2019-11-13T06:50:00
2019-11-13 07:00:00,10048.0,,,-30.0,,100,2019-11-13T07:00:00
2019-11-13 07:10:00,10049.0,,,-30.0,,100,2019-11-13T07:10:00
2019-11-13 07:20:00,10050.0,,,-30.0,,100,2019-11-13T07:20:00
2019-11-13 07:30:00,10052.0,,,-30.0,,100,2019-11-13T07:30:00
2019-11-13 07:40:00,10054.0,,,-31.0,,100,2019-11-13T07:40:00
2019-11-13 07:50:00,10054.0,,,-31.0,,100,2019-11-13T07:50:00
2019-11-13 08:00:00,10053.0,,,-30.0,,100,2019-11-13T08:00:00
2019-11-13 08:10:00,10054.0,,,-30.0,,100,2019-11-13T08:10:00
2019-11-13 08:20:00,10053.0,,,-30.0,,100,2019-11-13T08:20:00
2019-11-13 08:30:00,10054.0,,,-30.0,,100,2019-11-13T08:30:00
2019-11-13 08:40:00,10056.0,,,-30.0,,100,2019-11-13T08:40:00
2019-11-13 08:50:00,10057.0,,,-30.0,,100,2019-11-13T08:50:00
2019-11-13 09:00:00,10055.0,,,-30.0,,100,2019-11-13T09:00:00
2019-11-13 09:10:00,10059.0,,,-30.0,,100,2019-11-13T09:10:00
2019-11-13 09:20:00,10059.0,,,-30.0,,100,2019-11-13T09:20:00
