datetimes,integrated_vapor,integrated_liquid,cloud_base,rain_flag,times
2019-11-13 00:05:43,0.717,0.037,3.2,0.0,2019-11-13T00:05:43
2019-11-13 00:08:19,0.672,0.043000000000000003,3.2,0.0,2019-11-13T00:08:19
2019-11-13 00:10:56,0.611,0.046,3.0,0.0,2019-11-13T00:10:56
2019-11-13 00:13:32,0.603,0.037,3.2,0.0,2019-11-13T00:13:32
2019-11-13 00:16:09,0.587,0.037,4.0,0.0,2019-11-13T00:16:09
2019-11-13 00:18:47,0.586,0.035,3.7,0.0,2019-11-13T00:18:47
2019-11-13 00:21:23,0.582,0.035,4.0,0.0,2019-11-13T00:21:23
2019-11-13 00:24:00,0.546,0.048,3.5,0.0,2019-11-13T00:24:00
2019-11-13 00:26:36,0.533,0.045,4.0,0.0,2019-11-13T00:26:36
2019-11-13 00:29:14,0.509,0.048,3.7,0.0,2019-11-13T00:29:14
2019-11-13 00:31:51,0.501,0.046,4.0,0.0,2019-11-13T00:31:51
2019-11-13 00:34:28,0.499,0.046,4.2,0.0,2019-11-13T00:34:28
2019-11-13 00:37:05,0.488,0.045,4.0,0.0,2019-11-13T00:37:05
2019-11-13 00:39:42,0.494,0.052000000000000005,4.0,0.0,2019-11-13T00:39:42
2019-11-13 00:42:19,0.483,0.05,4.2,0.0,2019-11-13T00:42:19
2019-11-13 00:44:56,0.486,0.052000000000000005,4.0,0.0,2019-11-13T00:44:56
2019-11-13 00:47:32,0.492,0.05,3.7,0.0,2019-11-13T00:47:32
2019-11-13 00:50:09,0.433,0.046,3.7,0.0,2019-11-13T00:50:09
2019-11-13 00:52:46,0.439,0.037,4.2,0.0,2019-11-13T00:52:46
2019-11-13 00:55:23,0.428,0.027,5.0,0.0,2019-11-13T00:55:23
2019-11-13 00:57:59,0.439,0.033,4.5,0.0,2019-11-13T00:57:59
2019-11-13 01:00:35,0.402,0.03,4.7,0.0,2019-11-13T01:00:35
2019-11-13 01:03:13,0.437,0.03,4.5,0.0,2019-11-13T01:03:13
2019-11-13 01:05:50,0.398,0.024,4.0,0.0,2019-11-13T01:05:50
2019-11-13 01:08:26,0.405,0.025,4.5,0.0,2019-11-13T01:08:26
2019-11-13 01:11:04,0.423,0.03,3.7,0.0,2019-11-13T01:11:04
2019-11-13 01:13:41,0.40700000000000003,0.025,4.2,0.0,2019-11-13T01:13:41
2019-11-13 01:16:18,0.393,0.01,5.0,0.0,2019-11-13T01:16:18
2019-11-13 01:18:57,0.386,0.001,-1.0,0.0,2019-11-13T01:18:57
2019-11-13 01:21:34,0.377,0.012,5.0,0.0,2019-11-13T01:21:34
2019-11-13 01:24:11,0.40900000000000003,0.0,-1.0,0.0,2019-11-13T01:24:11
2019-11-13 01:26:48,0.397,0.013000000000000001,4.7,0.0,2019-11-13T01:26:48
2019-11-13 01:29:25,0.397,0.0,-1.0,0.0,2019-11-13T01:29:25
2019-11-13 01:32:02,0.395,0.004,5.2,0.0,2019-11-13T01:32:02
