datetimes,temperature,dew_point,relative_humidity,liquid,range,times
2019-11-13 00:00:00,-1.3,-10.700000000000001,48.0,0.001,0,2019-11-13T00:00:00
2019-11-13 00:00:00,-1.6,-13.8,39.0,0.001,50,2019-11-13T00:00:00
2019-11-13 00:00:00,-1.6,-14.0,38.0,0.001,100,2019-11-13T00:00:00
2019-11-13 00:00:00,-2.0,-13.9,39.0,0.001,150,2019-11-13T00:00:00
2019-11-13 00:00:00,-2.4000000000000004,-14.0,40.0,0.001,200,2019-11-13T00:00:00
2019-11-13 00:00:00,-2.8000000000000003,-14.100000000000001,41.0,0.001,250,2019-11-13T00:00:00
2019-11-13 00:00:00,-3.3000000000000003,-14.4,42.0,0.001,300,2019-11-13T00:00:00
2019-11-13 00:00:00,-3.9000000000000004,-14.600000000000001,43.0,0.001,350,2019-11-13T00:00:00
2019-11-13 00:00:00,-4.5,-14.8,44.0,0.001,400,2019-11-13T00:00:00
2019-11-13 00:00:00,-5.0,-15.100000000000001,45.0,0.001,450,2019-11-13T00:00:00
2019-11-13 00:00:00,-5.5,-15.4,45.0,0.001,500,2019-11-13T00:00:00
2019-11-13 00:00:00,-6.5,-15.700000000000001,47.0,0.001,600,2019-11-13T00:00:00
2019-11-13 00:00:00,-7.300000000000001,-16.2,49.0,0.001,700,2019-11-13T00:00:00
2019-11-13 00:00:00,-8.0,-17.1,48.0,0.001,800,2019-11-13T00:00:00
2019-11-13 00:00:00,-8.8,-17.0,51.0,0.006,900,2019-11-13T00:00:00
2019-11-13 00:00:00,-9.5,-16.7,56.0,0.03,1000,2019-11-13T00:00:00
2019-11-13 00:00:00,-10.100000000000001,-17.0,57.0,0.028,1100,2019-11-13T00:00:00
2019-11-13 00:00:00,-10.600000000000001,-17.7,55.0,0.043000000000000003,1200,2019-11-13T00:00:00
2019-11-13 00:00:00,-11.100000000000001,-19.0,52.0,0.064,1300,2019-11-13T00:00:00
2019-11-13 00:00:00,-11.600000000000001,-19.200000000000003,53.0,0.085,1400,2019-11-13T00:00:00
2019-11-13 00:00:00,-12.0,-19.5,53.0,0.062,1500,2019-11-13T00:00:00
2019-11-13 00:00:00,-12.200000000000001,-19.5,54.0,0.062,1600,2019-11-13T00:00:00
2019-11-13 00:00:00,-12.4,-19.1,57.0,0.076,1700,2019-11-13T00:00:00
2019-11-13 00:00:00,-12.600000000000001,-18.900000000000002,59.0,0.058,1800,2019-11-13T00:00:00
2019-11-13 00:00:00,-12.8,-19.200000000000003,58.0,0.031,1900,2019-11-13T00:00:00
2019-11-13 00:00:00,-13.100000000000001,-19.400000000000002,59.0,0.029,2000,2019-11-13T00:00:00
2019-11-13 00:00:00,-13.600000000000001,-17.6,72.0,0.04,2250,2019-11-13T00:00:00
2019-11-13 00:00:00,-14.4,-17.2,79.0,0.001,2500,2019-11-13T00:00:00
2019-11-13 00:00:00,-15.200000000000001,-17.0,86.0,0.001,2750,2019-11-13T00:00:00
2019-11-13 00:00:00,-16.2,-17.2,91.0,0.001,3000,2019-11-13T00:00:00
2019-11-13 00:00:00,-17.2,-18.1,93.0,0.001,3250,2019-11-13T00:00:00
2019-11-13 00:00:00,-18.400000000000002,-19.0,95.0,0.001,3500,2019-11-13T00:00:00
2019-11-13 00:00:00,-19.400000000000002,-19.900000000000002,95.0,0.001,3750,2019-11-13T00:00:00
2019-11-13 00:00:00,-20.700000000000003,-20.900000000000002,99.0,0.001,4000,2019-11-13T00:00:00
2019-11-13 00:00:00,-22.0,-22.700000000000003,94.0,0.001,4250,2019-11-13T00:00:00
2019-11-13 00:00:00,-23.3,-24.400000000000002,91.0,0.001,4500,2019-11-13T00:00:00
2019-11-13 00:00:00,-24.700000000000003,-26.3,86.0,0.001,4750,2019-11-13T00:00:00
2019-11-13 00:00:00,-26.1,-28.0,83.0,0.001,5000,2019-11-13T00:00:00
2019-11-13 00:00:00,-27.5,-29.5,83.0,0.005,5250,2019-11-13T00:00:00
2019-11-13 00:00:00,-28.900000000000002,-31.8,77.0,0.001,5500,2019-11-13T00:00:00
2019-11-13 00:00:00,-30.5,-33.9,72.0,0.001,5750,2019-11-13T00:00:00
2019-11-13 00:00:00,-32.0,-36.0,67.0,0.016,6000,2019-11-13T00:00:00
2019-11-13 00:00:00,-33.4,-37.800000000000004,65.0,0.017,6250,2019-11-13T00:00:00
2019-11-13 00:00:00,-34.800000000000004,-39.7,61.0,0.023,6500,2019-11-13T00:00:00
2019-11-13 00:00:00,-36.4,-41.300000000000004,60.0,0.001,6750,2019-11-13T00:00:00
2019-11-13 00:00:00,-37.800000000000004,-43.800000000000004,54.0,0.001,7000,2019-11-13T00:00:00
2019-11-13 00:00:00,-39.400000000000006,-45.900000000000006,50.0,0.001,7250,2019-11-13T00:00:00
2019-11-13 00:00:00,-40.900000000000006,-48.300000000000004,44.0,0.001,7500,2019-11-13T00:00:00
2019-11-13 00:00:00,-42.2,-50.0,42.0,0.001,7750,2019-11-13T00:00:00
2019-11-13 00:00:00,-43.6,-51.6,40.0,0.001,8000,2019-11-13T00:00:00
2019-11-13 00:00:00,-44.900000000000006,-53.2,38.0,0.001,8250,2019-11-13T00:00:00
2019-11-13 00:00:00,-46.1,-54.7,37.0,0.001,8500,2019-11-13T00:00:00
2019-11-13 00:00:00,-47.2,-56.5,33.0,0.001,8750,2019-11-13T00:00:00
2019-11-13 00:00:00,-48.0,-57.300000000000004,33.0,0.001,9000,2019-11-13T00:00:00
2019-11-13 00:00:00,-48.7,-58.300000000000004,31.0,0.001,9250,2019-11-13T00:00:00
2019-11-13 00:00:00,-49.1,-58.300000000000004,33.0,0.001,9500,2019-11-13T00:00:00
2019-11-13 00:00:00,-49.800000000000004,-59.6,30.0,0.001,9750,2019-11-13T00:00:00
2019-11-13 00:00:00,-50.300000000000004,-60.900000000000006,27.0,0.001,10000,2019-11-13T00:00:00
